Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
54	-236.38095	71.36345	-107.801346	-596.8695	79.0	-107.64487	42.456978	6.4456086	-154.53282	550000	1.1175871e-08	1603.0184	-0.019389616	-257.57266	0.44003424	0.010850045	0.09323729	79.0	247.94524788856506
55	-233.95285	52.693645	-127.186584	-395.8962	79.0	-104.922005	42.867813	12.404122	-154.9341	560000	-1.6763806e-08	973.0158	-0.019765273	-170.47069	0.43314755	0.010229564	0.10504202	79.0	252.5093469619751
56	-231.55475	54.772877	-128.99028	-409.85297	79.0	-106.69693	40.630013	18.723343	-155.15796	570000	1.4901161e-08	1137.1986	-0.018967131	-226.50163	0.4236267	0.008856411	0.09603841	79.0	256.2890546321869
57	-224.82796	58.44236	-95.731865	-490.8209	79.0	-106.230316	42.04746	16.633469	-155.3291	580000	-1.2417635e-09	1293.8854	-0.020534212	-285.81982	0.42082867	0.008585186	0.10154062	79.0	260.61825227737427
58	-226.5153	56.294933	-110.17029	-360.61118	79.0	-101.54623	42.32829	12.08139	-155.4232	590000	-9.934108e-09	1209.1599	-0.01694695	-219.55928	0.42036322	0.0067331586	0.084733896	79.0	264.42925238609314
59	-233.57106	51.7445	-133.33891	-380.7492	79.0	-102.67701	41.50732	19.293198	-155.64716	600000	4.967054e-09	1112.5376	-0.018811883	-199.08081	0.41372332	0.0070052035	0.08653461	79.0	268.2418270111084
60	-223.00249	55.708885	-111.3493	-404.39816	79.0	-104.16081	42.13218	11.107695	-155.83936	610000	-9.313226e-09	1211.9132	-0.018024378	-222.0664	0.39321408	0.009760152	0.09653861	79.0	273.5023386478424
61	-225.97026	54.580658	-128.69283	-360.2933	79.0	-100.165665	40.746433	7.364004	-155.92535	620000	-4.967054e-09	1091.809	-0.017610855	-196.73792	0.37880877	0.0074259657	0.087735094	79.0	278.0840907096863
62	-209.96625	47.83993	-118.638275	-341.42026	79.0	-101.20602	41.50384	4.6281486	-155.95723	630000	0.0	987.9473	-0.018430104	-221.98816	0.38573995	0.0114010535	0.08673469	79.0	282.47024035453796
63	-215.73973	52.755898	-122.83373	-486.69443	79.0	-96.33993	40.404324	3.0665722	-155.87001	640000	1.9868216e-08	1101.2113	-0.018619359	-220.04558	0.4053711	0.009996389	0.09303722	79.0	287.6492831707001
64	-215.98209	52.899296	-107.85769	-337.01648	79.0	-97.301346	40.39432	74.628716	-156.08218	650000	4.967054e-09	1077.4569	-0.017268857	-210.30931	0.38322076	0.008710582	0.08283313	79.0	291.9653437137604
65	-195.4598	45.198933	-93.31076	-328.31497	79.0	-96.3912	40.59086	16.544344	-156.33707	660000	9.934108e-09	806.1292	-0.018459061	-204.40874	0.37066212	0.008653319	0.0952381	79.0	295.7109682559967
66	-206.57037	47.958603	-108.41847	-429.0941	79.0	-88.90125	37.325104	5.1046553	-154.44647	670000	7.450581e-09	871.5078	-0.018556079	-179.93976	0.37086228	0.009560478	0.08593438	79.0	299.59135580062866
67	-201.38315	47.880573	-112.96924	-371.02914	79.0	-95.79734	40.005634	17.499266	-156.44365	680000	-1.2417635e-09	877.1636	-0.018027024	-146.63605	0.37157393	0.009202756	0.0882353	79.0	304.031209230423
68	-199.91026	47.73281	-94.21556	-373.99182	79.0	-90.867096	37.950745	8.497814	-156.29224	690000	6.208817e-09	928.28687	-0.018926825	-186.5293	0.36403528	0.010188455	0.10034013	79.0	308.6811029911041
69	-203.29004	60.560474	-91.109085	-514.71356	79.0	-91.79687	37.76142	3.25321	-156.36478	700000	7.450581e-09	1206.0469	-0.019092802	-230.83704	0.3707633	0.011563167	0.09303721	79.0	312.86527919769287
70	-197.89717	45.62974	-94.34056	-319.79697	79.0	-89.549774	38.5976	11.088287	-156.69125	710000	-9.934108e-09	837.89215	-0.017612772	-168.8329	0.36801648	0.007948817	0.08673469	79.0	318.07327008247375
71	-201.85408	47.7901	-116.02161	-377.15262	79.0	-89.24996	38.207012	17.105114	-156.2105	720000	-9.934108e-09	887.237	-0.0202982	-225.99376	0.3794113	0.011593164	0.10364146	79.0	323.63645219802856
72	-198.10985	43.631943	-96.48082	-384.76013	79.0	-93.20011	40.066044	5.461397	-156.79549	730000	-2.483527e-09	837.63214	-0.01944073	-267.59616	0.37628403	0.009733606	0.102440976	79.0	328.03142833709717
73	-198.3923	44.886917	-100.033035	-336.71417	79.0	-87.77263	39.266033	4.4664927	-155.61816	740000	-1.2417634e-08	887.7881	-0.018553233	-208.12883	0.3651588	0.009027512	0.0977391	79.0	332.7491159439087
74	-194.4732	49.956627	-101.234375	-328.6991	79.0	-89.02236	38.701324	22.424974	-156.09554	750000	-8.692344e-09	878.8823	-0.018257124	-148.48946	0.38071883	0.008664553	0.094837934	79.0	336.5422041416168
75	-184.01157	42.538395	-107.231995	-370.28098	79.0	-86.379425	37.798553	13.106656	-155.69937	760000	-1.9868216e-08	774.63214	-0.019007698	-205.75166	0.35235667	0.013018672	0.098139256	79.0	341.27772092819214
76	-193.76651	48.784805	-106.65776	-344.65375	79.0	-82.19083	36.80795	4.9031286	-149.34077	770000	0.0	934.8613	-0.017202618	-186.13936	0.363132	0.009546372	0.08713486	79.0	345.2319941520691
77	-192.9455	47.48767	-93.53583	-388.83228	79.0	-86.78817	38.212646	5.6116066	-156.26205	780000	-2.2351742e-08	819.3808	-0.01836726	-149.37357	0.37898687	0.0061618076	0.09843937	79.0	349.0261445045471
78	-189.96019	47.59933	-94.26085	-326.66983	79.0	-86.53821	37.823223	4.535763	-155.9119	790000	-4.967054e-09	844.3752	-0.018316835	-155.93848	0.3644576	0.008544762	0.09043618	79.0	353.74506664276123
79	-180.84146	42.575867	-83.180626	-302.03177	79.0	-85.01498	37.609367	8.312909	-148.42311	800000	4.967054e-09	740.7505	-0.018317088	-123.26199	0.3542347	0.009148029	0.087134846	79.0	358.3787999153137
80	-180.83261	44.105556	-102.49294	-302.49304	79.0	-81.030624	35.51834	17.143497	-139.39975	810000	-8.692344e-09	643.56964	-0.019427862	-100.48002	0.35888776	0.011061512	0.1027411	79.0	363.01354026794434
81	-183.18681	44.999348	-86.42154	-329.5927	79.0	-79.746086	35.397175	6.0547686	-140.30263	820000	-8.071463e-09	718.0908	-0.019526703	-152.5721	0.3676335	0.01264434	0.09983993	79.0	367.62303352355957
82	-177.97325	37.81268	-106.6691	-311.2906	79.0	-82.10612	36.709023	14.482765	-155.53676	830000	-4.967054e-09	581.34064	-0.019855386	-130.6437	0.3846607	0.010987397	0.09833934	79.0	371.37205815315247
83	-182.99037	42.360714	-92.48985	-345.60068	79.0	-79.36184	35.74851	57.25715	-154.49089	840000	1.4901161e-08	663.17267	-0.017876668	-154.40897	0.381349	0.008106416	0.08863545	79.0	375.1799249649048
84	-184.30066	47.59546	-103.525795	-347.58887	79.0	-81.53707	36.68753	1.2344561	-143.66844	850000	1.2417634e-08	926.06036	-0.019033097	-216.36725	0.35946417	0.008218697	0.09103641	79.0	379.85984563827515
85	-175.14531	38.030853	-109.46026	-302.06335	79.0	-82.03583	37.092796	10.549577	-147.16907	860000	1.3659398e-08	575.7581	-0.01876466	-146.44113	0.35827973	0.011217172	0.096838735	79.0	383.81284737586975
86	-180.83746	45.11752	-104.51399	-365.9632	79.0	-76.72736	34.3168	1.1533103	-145.49365	870000	1.9868216e-08	742.8032	-0.018455455	-175.44884	0.37430716	0.0056921155	0.086134456	79.0	387.5808906555176
87	-173.60405	40.957016	-103.21498	-296.31744	79.0	-82.48262	38.688694	5.72365	-157.04701	880000	-3.7252903e-09	763.9207	-0.017486213	-222.85237	0.3514521	0.011565809	0.08913565	79.0	391.9267363548279
88	-174.83067	36.676674	-106.31138	-304.32846	79.0	-76.811516	34.435703	23.471357	-135.64847	890000	-6.208817e-09	541.5958	-0.020853328	-100.44462	0.37282753	0.011452052	0.110044025	79.0	396.7255964279175
89	-174.15442	41.139664	-93.11436	-280.74936	79.0	-78.30178	34.400875	17.031569	-131.36334	900000	-1.1175871e-08	554.88727	-0.019089514	-89.81075	0.34019127	0.008626091	0.09993997	79.0	401.60594940185547
90	-175.19801	44.086323	-102.55387	-409.47922	79.0	-76.400085	35.736042	9.301019	-149.36072	910000	-1.2417634e-08	666.4316	-0.02018957	-142.2389	0.3556989	0.012628593	0.092537016	79.0	407.0099878311157
91	-168.57767	40.292496	-95.17476	-360.2894	79.0	-78.56786	35.982517	3.7264	-156.71104	920000	-1.2417634e-08	556.98724	-0.018163212	-114.53937	0.35716382	0.012595342	0.094037615	79.0	411.1426749229431
92	-170.07101	49.70187	-91.14331	-427.01434	79.0	-75.71486	34.96727	8.335066	-152.3077	930000	9.313226e-10	776.31104	-0.018172394	-146.9124	0.34395036	0.0073348465	0.09503802	79.0	414.98862981796265
93	-168.51434	45.648865	-70.3015	-343.58835	79.0	-74.22158	34.93436	4.711519	-154.09572	940000	3.7252903e-09	725.6254	-0.020453224	-163.9347	0.3429902	0.01113611	0.09933973	79.0	418.7754590511322
94	-171.94734	40.554985	-102.16841	-344.51556	79.0	-74.96787	35.05974	1.4987628	-156.75313	950000	-1.1175871e-08	569.30426	-0.016469138	-124.9859	0.35597417	0.0048686126	0.07893158	79.0	423.7072756290436
95	-165.64137	42.783627	-99.88968	-306.45993	79.0	-76.87492	37.485653	3.0648365	-155.71536	960000	2.2351742e-08	735.9809	-0.019708352	-173.68712	0.3577796	0.011104743	0.09643858	79.0	428.16826939582825
96	-167.02708	43.11853	-94.123405	-323.57758	79.0	-74.35109	34.442234	4.7502527	-153.82684	970000	-2.483527e-09	661.76074	-0.020308696	-153.5908	0.35726133	0.009521778	0.10194077	79.0	432.6512780189514
97	-160.9909	34.986042	-103.740265	-256.97513	79.0	-72.89906	33.043835	4.7620792	-151.8013	980000	2.4835268e-08	466.9185	-0.01919842	-116.81473	0.34425616	0.012254541	0.10474189	79.0	437.1434667110443
98	-164.12224	42.245544	-87.59466	-320.7436	79.0	-69.77837	34.8137	12.175324	-139.19788	990000	-1.5522042e-08	674.3383	-0.019220175	-123.13546	0.34922275	0.009945144	0.093737505	79.0	441.1589677333832
99	-156.95932	35.785225	-99.25592	-333.50107	79.0	-71.24037	34.06848	6.564266	-141.9512	1000000	1.6142925e-08	484.1854	-0.020875515	-133.74751	0.37206993	0.012705531	0.09813926	79.0	445.698162317276
100	-161.04842	44.009487	-93.33831	-363.55524	79.0	-66.36772	33.29112	4.72807	-141.96205	1010000	1.9868216e-08	643.91534	-0.02050554	-198.41078	0.35177973	0.013190339	0.100740306	79.0	450.1787905693054
101	-161.12506	45.576324	-86.614746	-352.40067	79.0	-69.75618	36.516872	13.700871	-157.8086	1020000	1.9868216e-08	662.2712	-0.020040616	-168.18126	0.3594788	0.011885651	0.09983993	79.0	455.5060465335846
102	-160.34077	43.597248	-87.57444	-309.97144	79.0	-71.394905	33.37614	14.894999	-157.26619	1030000	4.967054e-09	672.3314	-0.019438045	-147.59033	0.34973374	0.011393945	0.094037615	79.0	459.41319823265076
103	-154.07507	38.465954	-82.90376	-286.73328	79.0	-69.34367	34.167572	8.088197	-143.48706	1040000	7.450581e-09	570.982	-0.02038134	-140.59859	0.3574594	0.014981344	0.11534613	79.0	463.2536211013794
104	-155.76129	39.576492	-96.19634	-287.06955	79.0	-67.77967	32.885574	7.7314596	-139.22612	1050000	0.0	522.6798	-0.021819629	-97.07617	0.3416457	0.012200399	0.10644258	79.0	468.493200302124
105	-158.01231	40.582188	-71.52067	-307.45496	79.0	-67.90078	33.182423	4.3686886	-142.60825	1060000	1.2417635e-09	548.5052	-0.017778246	-124.60775	0.35412315	0.010435745	0.09743897	79.0	474.3020362854004
106	-151.88023	43.64416	-84.83322	-355.24997	79.0	-69.71838	33.244953	7.490529	-154.63893	1070000	5.432715e-09	671.2651	-0.019667696	-192.82243	0.34425595	0.014162071	0.10504202	79.0	479.3225953578949
107	-155.22014	39.58016	-93.97081	-292.21158	79.0	-66.1586	31.674212	10.551747	-154.19427	1080000	-7.450581e-09	521.7679	-0.0177485	-151.38701	0.3462142	0.009423924	0.09013606	79.0	484.6957468986511
108	-148.20213	44.728836	-80.75758	-417.0084	79.0	-68.89623	34.024643	5.233075	-157.62935	1090000	0.0	628.4953	-0.01945505	-133.34828	0.3459209	0.014900112	0.10854342	79.0	489.67327785491943
109	-155.84319	46.311947	-77.04638	-339.97842	79.0	-64.38109	31.693142	4.8438807	-142.37982	1100000	8.071463e-09	645.99945	-0.019943958	-130.22522	0.34675494	0.011671943	0.10154062	79.0	494.6805386543274
110	-154.46577	40.61991	-85.3964	-300.3652	79.0	-67.59934	34.12615	11.837269	-148.4405	1110000	7.450581e-09	579.4388	-0.019082153	-138.36403	0.34266177	0.011684147	0.09853941	79.0	498.4284954071045
111	-151.69403	34.889328	-87.71154	-273.89014	79.0	-66.38063	32.074585	6.468582	-134.59274	1120000	-2.483527e-09	493.6057	-0.017455054	-109.946846	0.35501826	0.0095065	0.09073629	79.0	502.2040846347809
112	-149.63074	41.417377	-88.465706	-303.16333	79.0	-66.80004	31.45132	36.894863	-150.45618	1130000	9.934108e-09	584.2549	-0.018811436	-120.951195	0.33859158	0.008753717	0.0972389	79.0	506.32744312286377
113	-150.468	42.445934	-84.91846	-300.06635	79.0	-64.81515	31.634687	0.77128816	-133.00731	1140000	7.450581e-09	621.67474	-0.018661322	-137.84415	0.32752013	0.011290397	0.10084033	79.0	510.3168697357178
114	-148.84395	39.724052	-82.09381	-293.39307	79.0	-63.658024	31.868267	6.8257685	-129.60449	1150000	1.2417635e-09	542.63995	-0.017786836	-125.242836	0.33347306	0.0135465935	0.09553822	79.0	515.9246070384979
115	-149.41183	42.880077	-80.673	-284.2447	79.0	-64.94905	31.402842	2.5250723	-143.87341	1160000	1.6142925e-08	715.092	-0.018711971	-146.89108	0.32925722	0.01139278	0.0982393	79.0	520.3817925453186
116	-149.36546	37.6781	-80.23928	-273.92047	79.0	-64.68658	31.441696	4.1097674	-129.73436	1170000	1.7384687e-08	529.16455	-0.01917552	-115.567566	0.32768226	0.011329833	0.0927371	79.0	525.1607182025909
117	-154.11096	42.499046	-87.99544	-308.27176	79.0	-65.41718	33.317703	9.505129	-145.38672	1180000	9.934108e-09	592.37524	-0.018671116	-151.94221	0.34284392	0.012118337	0.10114046	79.0	529.4175255298615
118	-149.9428	42.866405	-84.523026	-326.71106	79.0	-65.99531	32.964317	5.9344773	-155.11537	1190000	4.967054e-09	584.78986	-0.017748447	-132.1996	0.33255556	0.008228819	0.08313326	79.0	533.1618757247925
119	-141.55096	36.88806	-84.99607	-275.70917	79.0	-64.72504	32.929226	6.3313823	-156.17667	1200000	-1.2417635e-09	486.21323	-0.019277347	-120.503395	0.33504736	0.0144278435	0.09693878	79.0	538.2243270874023
